userName,score,content
Mucky Pramanasidi,5,blue ok banget deh 😁👍❤️❤️❤️
Rere 23,4,bagus banget apk nya. dulu sering lemot mungkin karena RAM hp ku kepenuhan tp sekarang Alhamdulillah lancarrr APK nya Semoga rejeki nya juga hehe Amiinnn. trus enak nya di APK ini tuh bisa di pisah pisah uang nya
Noval Eka Wahyuda,5,Aplikasi yang sangat membantu untuk menabung
Adhy Mara,1,NOT RECOMMENDED......
Qian Fiorenza,5,sangat suka sekali pakai aplikasi blu bca ini
Nurfan Cahya Adi,1,"UANG SAYA HILANG DI BLU 11 JUTA, HATI2 YANG MENGGUNAKAN BLU"
Aisya Dyva,3,"sebenernya bagus tp login saya ga bisa2 .. bahkan masuk ke nomor ponsel saja belum mendapatkan kode otp sampai d alihkan ke wa. kalaupun berkaitan dg nomor hp, nomor masih aktif dan ada pulsanya.. 🙏🏻"
William,5,"saya suka sekali menggunakan blu, kartunya yang keren, cs-nya yang fast respon, fitur blusaving bisa dengan nominal terkecil pula, dijamin lps dan ojk 👍. cuma saya tidak menemukan fitur dark mode dan intip saldo tanpa masuk kedalam menu aplikasi. semoga kedepannya blu menambahkan fitur tersebut. Terima kasih"
Yosep Sutriono,5,mantap makin canggih dan nyaman
Rayu Handari,4,min knpa verifikasi data lama ya
Ari Yulianto,3,"mungkin karena terlalu secure bertransaksi jadi lemotnya terasa sekali. cocok buat tabungan berjangka aja bukan buat transaksi sehari hari deh. fast respon memang ku akui CS nya. tapi ya itu, aplikasinya berat."
Ria Suharya,5,"senang TRX di blu, gratis admin"
Mohammad Rosyid,5,terbaik
Muhammad Agung Pratama Lutfie,1,"1. aplikasi berat/kurang optimalisasi. Saya telah mencoba di samsung a55 dan iphone 14 pro (app store yaa, bukan ip hdc), tetapi untuk membuka halaman qris saja memakan waktu yang lumayan lama dibandingkan m-bangking lain (terjadi pada setiap membuka halaman). 2. sekarang transfer dari bca ke blu sudah ada biaya admin. Saya secara personal, tertarik untuk memakai blu karena sebelumnya tidak ada biaya admin."
Pandu Dewananta,5,gak bisa top up di shoope pay
puspita larasati,5,"semakin ke sini udah semakin baik. tapi tolong lah kalo tarik tunai di ATM ntu jangan pake admin, soalnya lumayan biarpun 3500😌"
zammil hidayat,5,very good
John Fhelix,2,saya mau masuk ke akun Blu saya malah gak bisa
akbar mahardhika,5,Keren banget 🤩
revina zara,1,"Sudah beberapa kali mau bayar atau mau transfer tapi aplikasi tidak bisa di buka, stack di halaman masuk / putih aja di saat buka BCA dan aplikasi lain lancar. jadi takut klok semua uang di masuin disana trus mau di pakai ga ada yang bantu transfer dari orang terdekat. *tidak ada update di play store"
Nurdianti Dian,3,"setelah di update pembayaran shopee malah di hilangkan, padahal saya sering cek out via blue. Tolong kembalikan seperti sebelumnya"
Vania Setra,1,"jelekk banget , hp sy ke reset karena musibah, mau masuk ulang buat ambil uang saja ribett, dibilang wajah tak sesuai lahh, akun terblokir lahhh, maksudnya apaan coba, duit gue disitu mana masih banyak, ini gue mati kelaparan woi lahh ga bisa beli makan sialannn."
Julian Michels,1,login susah banget nunggu 1 jam ? via WhatsApp gaak ada terus otp yaa mending lu matiin aja fitur otp WhatsApp. bikin emosi ja
Mba Cinda Meysha,5,"mengapa tiba"" Aplikasi ini tidak bisa di buka.? padahal saya mau melakukan pembayarab"
Dimas Sutarno,4,lemot terlalu berat
Jill Devils,5,"mantap benerrr,, transaksi jd lebih mudah dan simple... recommend bnget deh pokoknya..."
Natasya Ellynt,4,"tolong dioptimalkan aplikasinya, karna kadang lemot banget buat transaksinya"
rrq capta,5,bank digital teraman
Alfi,1,kocak ini aplikasi udah benar kata sandi nya malah salah dan membuat kartu nya pake video call segala nya bikin susah aja dan saya hapus aplikasi nya karena pendaftaran nya sulit banget padahal udah masukan semua tetap salah
Jajat Sudrajat,5,Bagus
Eugene,1,jujur suka suka aja pakai ini cuma ga suka di step vc nya karena spiker rusak kamera pun blur coba di update lagi
Laila Maghfiroh,4,kemarin pas AQ pakek apknya bagus banget trs ada perubahan AQ bingung KK g bisa login yaaaaaa mohon bantuannya
salmanoi 123,5,sejauh ini bagus 👍😍
M Repi Akbar,5,mbangkin paling best
Mesy Sameh,4,"Tolong banget diperbaiki sistem nya biar lebih cepet, gesit dan ringan. Blu ini bagus tanpa ada potongan admin, banyak fitur saving, dan fitur menarik lainya, tapi terlalu berat jadi lelet dan bug terus. Mau buka apk aja nunggu bbrp menit ngabisin waktu, jadi gabisa di buru². Saya baca udh banyak juga yg ngasih rate tentang keleletan ini, mungkin bisa segera diperbaiki"
Naftah Video 2024,4,"halo blu, secara keseluruhan saya senang menggunakan blu, namun untuk loading yang sangat lama terkadang membuat saya merasa tidak nyaman dalam menggunakan aplikasi ini, harap segera diperbaiki dan ditingkatkan lagi terima kasih, salam hangat"
Rina Rosdiana,5,Karena BCA sih jadi lebih yakin dan selqma pemakaian gak ribet cepat cukup m3muadkan untuk pemakai baru
Sri ayu,5,"kalo ada bintang 10 saya kasih 10 deh. hari ini jam 00:47 saya Chet cs nya blu dan masih di jawab cepet keren banget, jarang ada cs bank yang layanannya 24/7 jam. makin ke sini makin banyak promo menarik pula, salah satu nya kartu debit Garuda mails jadi pas belanja bisa sambil kumpulin poin biar bisa dapat tiket pesawat kelas bisnis murah/geratis. terus juga bisa transfer geratis dan minimal transfer 5K, bisa investasi dan buka tabungan deposito juga👍👍👍👍👍👍"
MHD'S Project,3,"Lambat, dan kurang responsif, kelamaan loading, mohon dibenahi"
Nazwa Nursyifa,1,LEMOT BGT MALES
Rikky Setiawan,1,Aplikasi verifikasi paling lama
Sumadi Praja,5,saya sangat puas paksi Blu BCA
Harv Scarlette,5,"Sebenernya udah bagus banget, mana kita bisa pisah-pisah saving nya. Cuma keluhannya buat aku ada di verifikasi wajah buat login aja. Mungkin karena device yang aku pake kameranya kurang jadi susah banget login, sampe sekarang gabisa login lagi😔"
tesha caca,5,"simple dan sudah bagus,hanya suka lelet KLW mau transaksi atau buka akun bluenya.."
hadeuhh,2,semenjak update ga bisa isi flash... bca virtual account juga ga bisa bayar parah bgt sih
dini hidayah,3,makin hari makin lemot. ga bisa digunakan buat hp usia under 2020. mau transfer aja gagal mulu bukan karen koneksi tapi icon icon pada fitur ga bisa diklik. bahkan beberapa kali ngelag
Rizky Padilah,4,"Baru aja Daftar kemarin, kayaknya sekarang sudah mulai ada perubahan yang tadinya berat, lemot alias lelet, mulai terasa ringan mulai dari log in, ataupun mau transaksi sekarang sudah mulai terasa smootth meskipun masih ada lag lag , kalau bisa untuk animasinya di perhalus lagi ya kalau bisa d hilangkan saja biar tidak terlalu membebani aplikasi nya. Next Update Sistemnya ditingkatkan lagi dan disempurnakan. Sementara Bintang 4 dulu"
Andini Christaliani,5,layanan nya mudah
Tri,5,good bagus
Ike Yustia,5,Transaksi lancar dan mudah
Mustabiin Mus,2,suka eror kenapa min tolong di perbaiki
Nobita Bakurasa,1,"sumpah demi Allah barusan ini sy dapat app kayak gini masa KTP ku palsu,, parah aplikasinya"
Imelda,5,mantap
Deny Adin,5,Bagus sih tapi sering kali maintenance mau ambil uang ga bisa
Maryono Yono,3,"harus di update tapi kenapa malah ngga bisa di lanjutkan, aplikasinya terlalu lamaa. sudah nunggu dikasir jadi kena omell. mohon untuk di perbaiki lagi"
Rachmat Kurnia,5,mantab bagusan ni ketimbang MBengking BCA picture nya sudah lengkap
Diah Ayu,5,"awal awal pakai Blu msh eror, Alhamdullilah sekarang jadi favorit utk nyimpen simpanan, terus di tingkatkan ya.. biar bisa pakai blu seterusnya utk transaksi"
Auliyah,2,"Bikin kartu blu bca, dari bulan kemarin sampe skrng ga sampai2, agak kecewa sih"
Monica Anggraini,1,udah 4 hari ini gabisa di buka sama sekali
Ihwanushshafwan Abdurrahman Alfaruqi (Faruq),5,"bagus sekali, agak lambat"
Refa Ayu,2,kenapa udah gaada tf shopeepay???🥺
Sukur Salam sahara,5,mantap
Muhammad Ali Toni,5,"aplikasinya bagus dan mudah..cuma agak lelet kalau buka aplikasi.padahal pakai hp ram 8 gb,semoga kedepannya di perkecil lagi aplikasinya sehinga cepat saat login"
Ahmad Alnajid,4,sangat membantu
